Date,Visiting,Home,Period,Time,Challenging Team,Challenge Type,Result,Link
9/15/20,MIA,BOS,4th,6:17,MIA,Foul,Successful,https://videos.nba.com/nba/official-replay/media/trigger16_miabos_1_091520_approved_1280x720.mp4
9/15/20,MIA,BOS,OT1,1:27,BOS,Foul,Unsuccessful,https://videos.nba.com/nba/official-replay/media/trigger16_miabos_2_091520_approved_1280x720.mp4
9/17/20,MIA,BOS,3rd,9:43,MIA,Foul,Successful,https://videos.nba.com/nba/official-replay/media/trigger16_miabos_1_091720_approved_1280x720.mp4
9/17/20,MIA,BOS,4th,11:24,BOS,OB,Successful,https://videos.nba.com/nba/official-replay/media/trigger17_miabos_1_091720_approved_1280x720.mp4
9/18/20,DEN,LAL,2nd,6:25,DEN,Foul,Unsuccessful,https://videos.nba.com/nba/official-replay/media/trigger16_denlal_1_091820_approved_1280x720.mp4
9/19/20,BOS,MIA,4th,9:13,MIA,Foul,Successful,https://videos.nba.com/nba/official-replay/media/trigger16_bosmia_1_091920_approved_1280x720.mp4
9/23/20,BOS ,MIA,2nd,1:59,BOS,Foul,Unsuccessful,https://videos.nba.com/nba/official-replay/media/trigger16_bosmia_1_092320_approved_1280x720.mp4
9/23/20,BOS,MIA,4th,0:30,MIA,Foul,Successful,https://videos.nba.com/nba/official-replay/media/trigger16_bosmia_2_092320_approved_1280x720.mp4
9/24/20,LAL,DEN,4th,5:35,LAL,Foul,Unsuccessful,https://videos.nba.com/nba/official-replay/media/trigger16_lalden_1_092420_approved_1280x720.mp4
9/24/20,LAL,DEN,4th,0:59,DEN,Foul,Unsuccessful,https://videos.nba.com/nba/official-replay/media/trigger16_lalden_2_092420_approved_1280x720.mp4
9/25/20,MIA,BOS,2nd,3:05,BOS,Foul,Unsuccessful,https://videos.nba.com/nba/official-replay/media/trigger16_miabos_1_092520_approved_1280x720.mp4
9/25/20,MIA,BOS,4th,4:27,MIA,Foul,Unsuccessful,https://videos.nba.com/nba/official-replay/media/trigger16_miabos_2_092520_approved_1280x720.mp4
9/30/20,MIA,LAL,2nd,3:28,LAL,Foul,Successful,https://videos.nba.com/nba/official-replay/media/trigger16_mialal_1_093020_approved_1280x720.mp4
10/2/20,MIA,LAL,1st,3:54,LAL,Foul,Unsuccessful,https://videos.nba.com/nba/official-replay/media/trigger16_mialal_1_100220_approved_1280x720.mp4
